ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1760752599.119391,CSoMhX2SfdZce2Lc46,2a02:2f04:e104:3f00:2370:d47c:4774:d134,47554,2a02:26f0:9c00::684c:dc33,443,tcp,-,0.007837,63.0,24.0,RSTR,F,F,0,DFdRr,3,267,2,168,-,6
1760752635.292546,CebbCIlxeff3YEr4c,192.168.100.62,53020,192.168.100.1,53,udp,dns,0.004903,48.0,98.0,SF,T,T,0,Dd,1,76,1,126,-,17
1760752635.292829,CaqwMP2IVm2TObdgxg,192.168.100.62,42166,192.168.100.1,53,udp,dns,0.012511,48.0,64.0,SF,T,T,0,Dd,1,76,1,92,-,17
1760752635.293066,C9MFUcKVN5XA12HBi,192.168.100.62,57603,192.168.100.1,53,udp,dns,0.012837,48.0,76.0,SF,T,T,0,Dd,1,76,1,104,-,17
1760752641.363083,CDd4bs3wA506tXig89,192.168.100.61,5353,224.0.0.251,5353,udp,dns,1.813581,1237.0,0.0,S0,T,T,0,D,8,1461,0,0,-,17
1760752642.162579,CT3p662zRYABUCFgbl,fe80::3a8b:59ff:fe36:d53a,5353,ff02::fb,5353,udp,dns,1.014086,958.0,0.0,S0,T,F,0,D,7,1294,0,0,-,17
1760752637.843672,CikAzI2u4tm4buTGBe,192.168.100.60,5353,224.0.0.251,5353,udp,dns,6.43074,2008.0,0.0,S0,T,T,0,D,7,2204,0,0,-,17
1760752650.66548,CA3W7v2nFtY9ZK8575,192.168.100.62,59686,192.168.100.1,53,udp,dns,0.010909,44.0,113.0,SF,T,T,0,Dd,1,72,1,141,-,17
1760752650.665546,CCbRfX1nJ13BORfVl3,192.168.100.62,47488,192.168.100.1,53,udp,dns,0.011377,44.0,224.0,SF,T,T,0,Dd,1,72,1,252,-,17
1760752650.677075,Ct2ykQ2yT1kkUHNFyb,192.168.100.62,48902,192.168.100.1,53,udp,dns,0.001354,68.0,68.0,SF,T,T,0,Dd,1,96,1,96,-,17
1760752641.259752,CyxQP51ZctIo8NSl9l,fe80::1b1f:1105:d401:a6a4,5353,ff02::fb,5353,udp,dns,3.014862,1606.0,0.0,S0,T,F,0,D,5,1846,0,0,-,17
1760752611.8463,C4g4NP2F5kzB6ejTHe,2a02:2f04:e104:3f00:2370:d47c:4774:d134,58106,2a04:4e42:8e::347,443,tcp,-,52.959901,102.0,63.0,SF,F,F,0,DdaAFTfR,9,738,7,579,-,6
1760752611.846196,CjOwv43osMIMFZoO53,2a02:2f04:e104:3f00:2370:d47c:4774:d134,58118,2a04:4e42:8e::347,443,tcp,-,53.900213,102.0,63.0,SF,F,F,0,DdAaFfR,7,582,6,495,-,6
1760752612.846886,Cfacb9Q5umc8KsPMa,192.168.100.62,43508,34.120.208.123,443,tcp,-,53.899188,102.0,39.0,SF,T,F,0,DdAFaf,5,362,3,195,-,6
1760752613.757795,CJEhQb3aKAyjgCLgjl,192.168.100.1,49865,239.255.255.250,1900,udp,-,1.807057,530.0,0.0,S0,T,T,0,D,4,642,0,0,-,17
1760752621.182883,C2lbItRkf5jnXkETc,192.168.100.60,9487,255.255.255.255,9478,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,68,0,0,-,17
