duration_s,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,pkts_total,bytes_total,pps,bps,avg_pkt_size,pkts_dir_ratio,bytes_dir_ratio,syn_asymmetry,pkts_asymmetry,dir_entropy,server_pps,client_pps,server_bps,client_bps,bytes_per_server_pkt,bytes_per_client_pkt,l4_port_class_src,l4_port_class_dst,is_internal_src,is_internal_dst,pat_int_int,pat_int_ext,pat_ext_int,pat_ext_ext,time_of_day_sin,time_of_day_cos,proto_TCP,proto_UDP,proto_ICMP,tcp_flag_SYN,tcp_flag_ACK,tcp_flag_FIN,tcp_flag_RST,tcp_flag_PSH,tcp_flag_URG,tcp_flag_ECE,tcp_flag_CWR,tcp_handshake_ok,dstp_80,dstp_443,dstp_53,dstp_123,dstp_22,dstp_25,dstp_3389,dstp_445,dstp_5353,dstp_8080,dstp_8000,dstp_other,small_flow_flag,long_flow_flag
63.0,267,168,24,0,435,24,6.904761904761905,3.0476190476190474,0.05517241379310345,1.5892857142857142,24.0,1.0,0.22758620689655173,-0.0,4.238095238095238,2.6666666666666665,3.0476190476190474,0.0,0.0898876404494382,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48.0,76,126,98,0,202,98,4.208333333333333,16.333333333333332,0.48514851485148514,0.6031746031746031,98.0,1.0,-0.24752475247524752,-0.0,1.5833333333333333,2.625,16.333333333333332,0.0,1.2894736842105263,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48.0,76,92,64,0,168,64,3.5,10.666666666666666,0.38095238095238093,0.8260869565217391,64.0,1.0,-0.09523809523809523,-0.0,1.5833333333333333,1.9166666666666667,10.666666666666666,0.0,0.8421052631578947,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48.0,76,104,76,0,180,76,3.75,12.666666666666666,0.4222222222222222,0.7307692307692307,76.0,1.0,-0.15555555555555556,-0.0,1.5833333333333333,2.1666666666666665,12.666666666666666,0.0,1.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1237.0,1461,0,0,0,1461,0,1.1810832659660468,0.0,0.0,1461.0,0.0,0.0,1.0,-0.0,1.1810832659660468,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
958.0,1294,0,0,0,1294,0,1.350730688935282,0.0,0.0,1294.0,0.0,0.0,1.0,-0.0,1.350730688935282,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2008.0,2204,0,0,0,2204,0,1.097609561752988,0.0,0.0,2204.0,0.0,0.0,1.0,-0.0,1.097609561752988,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44.0,72,141,113,0,213,113,4.840909090909091,20.545454545454547,0.5305164319248826,0.5106382978723404,113.0,1.0,-0.323943661971831,-0.0,1.6363636363636365,3.2045454545454546,20.545454545454547,0.0,1.5694444444444444,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
44.0,72,252,224,0,324,224,7.363636363636363,40.72727272727273,0.691358024691358,0.2857142857142857,224.0,1.0,-0.5555555555555556,-0.0,1.6363636363636365,5.7272727272727275,40.72727272727273,0.0,3.111111111111111,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
68.0,96,96,68,0,192,68,2.823529411764706,8.0,0.3541666666666667,1.0,68.0,1.0,0.0,-0.0,1.411764705882353,1.411764705882353,8.0,0.0,0.7083333333333334,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1606.0,1846,0,0,0,1846,0,1.149439601494396,0.0,0.0,1846.0,0.0,0.0,1.0,-0.0,1.149439601494396,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
102.0,738,579,63,0,1317,63,12.911764705882353,4.9411764705882355,0.04783599088838269,1.2746113989637307,63.0,1.0,0.12072892938496584,-0.0,7.235294117647059,5.676470588235294,4.9411764705882355,0.0,0.08536585365853659,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,582,495,63,0,1077,63,10.558823529411764,4.9411764705882355,0.0584958217270195,1.1757575757575758,63.0,1.0,0.0807799442896936,-0.0,5.705882352941177,4.852941176470588,4.9411764705882355,0.0,0.10824742268041238,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,362,195,39,0,557,39,5.46078431372549,3.0588235294117645,0.07001795332136446,1.8564102564102565,39.0,1.0,0.2998204667863555,-0.0,3.549019607843137,1.911764705882353,3.0588235294117645,0.0,0.10773480662983426,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
530.0,642,0,0,0,642,0,1.211320754716981,0.0,0.0,642.0,0.0,0.0,1.0,-0.0,1.211320754716981,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,68,0,0,0,68,0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,1.0,-0.0,67999999999.99999,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,60,0,0,0,60,0,60000000000.0,0.0,0.0,60.0,0.0,0.0,1.0,-0.0,60000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102.0,510,495,63,0,1005,63,9.852941176470589,4.9411764705882355,0.0626865671641791,1.0303030303030303,63.0,1.0,0.014925373134328358,-0.0,5.0,4.852941176470588,4.9411764705882355,0.0,0.12352941176470589,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,57,0,0,0,57,0,57000000000.0,0.0,0.0,57.0,0.0,0.0,1.0,-0.0,57000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
88.0,356,405,189,0,761,189,8.647727272727273,17.181818181818183,0.2483574244415243,0.8790123456790123,189.0,1.0,-0.06438896189224705,-0.0,4.045454545454546,4.6022727272727275,17.181818181818183,0.0,0.5308988764044944,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,326,0,0,0,326,0,326000000000.0,0.0,0.0,326.0,0.0,0.0,1.0,-0.0,326000000000.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
24.0,128,132,0,0,260,0,10.833333333333334,0.0,0.0,0.9696969696969697,0.0,0.0,-0.015384615384615385,-0.0,5.333333333333333,5.5,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
88.0,456,485,189,0,941,189,10.693181818181818,17.181818181818183,0.20085015940488843,0.9402061855670103,189.0,1.0,-0.030818278427205102,-0.0,5.181818181818182,5.511363636363637,17.181818181818183,0.0,0.4144736842105263,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,68,0,0,0,68,0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,1.0,-0.0,67999999999.99999,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
58.0,86,278,250,0,364,250,6.275862068965517,34.48275862068966,0.6868131868131868,0.30935251798561153,250.0,1.0,-0.5274725274725275,-0.0,1.4827586206896552,4.793103448275862,34.48275862068966,0.0,2.9069767441860463,0.0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
