---------------------------------------------------------------------------------------------------
Date: 10/18/2025 -- 04:03:18 (uptime: 0d, 00h 00m 06s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 3773
decoder.bytes                                                | Total                     | 3174469
decoder.ipv4                                                 | Total                     | 511
decoder.ipv6                                                 | Total                     | 3229
decoder.ethernet                                             | Total                     | 3773
decoder.arp                                                  | Total                     | 33
decoder.tcp                                                  | Total                     | 3300
tcp.syn                                                      | Total                     | 11
tcp.synack                                                   | Total                     | 11
tcp.rst                                                      | Total                     | 18
decoder.udp                                                  | Total                     | 439
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 841
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 114
flow.tcp                                                     | Total                     | 37
flow.udp                                                     | Total                     | 76
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 10
tcp.invalid_checksum                                         | Total                     | 969
detect.alert                                                 | Total                     | 1126
detect.alerts_suppressed                                     | Total                     | 4
app_layer.flow.quic                                          | Total                     | 7
app_layer.tx.quic                                            | Total                     | 41
app_layer.flow.mdns                                          | Total                     | 6
app_layer.tx.mdns                                            | Total                     | 31
app_layer.flow.failed_udp                                    | Total                     | 22
app_layer.flow.dns_udp                                       | Total                     | 33
app_layer.tx.dns_udp                                         | Total                     | 66
app_layer.flow.sip_udp                                       | Total                     | 8
app_layer.error.sip_udp.parser                               | Total                     | 8
flow.end.state.new                                           | Total                     | 74
flow.end.state.established                                   | Total                     | 40
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 8800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 104
flow.recycler.queue_max                                      | Total                     | 50
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 10/18/2025 -- 04:04:01 (uptime: 0d, 00h 00m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 3773
decoder.bytes                                                | Total                     | 3174469
decoder.ipv4                                                 | Total                     | 511
decoder.ipv6                                                 | Total                     | 3229
decoder.ethernet                                             | Total                     | 3773
decoder.arp                                                  | Total                     | 33
decoder.tcp                                                  | Total                     | 3300
tcp.syn                                                      | Total                     | 11
tcp.synack                                                   | Total                     | 11
tcp.rst                                                      | Total                     | 18
decoder.udp                                                  | Total                     | 439
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 841
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 114
flow.tcp                                                     | Total                     | 37
flow.udp                                                     | Total                     | 76
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
flow.wrk.flows_evicted                                       | Total                     | 10
tcp.invalid_checksum                                         | Total                     | 969
detect.alert                                                 | Total                     | 1126
detect.alerts_suppressed                                     | Total                     | 4
app_layer.flow.quic                                          | Total                     | 7
app_layer.tx.quic                                            | Total                     | 41
app_layer.flow.mdns                                          | Total                     | 6
app_layer.tx.mdns                                            | Total                     | 31
app_layer.flow.failed_udp                                    | Total                     | 22
